Hours_of_Study,Hours_of_Sleep,Num_of_Practice_Tests,Exam_Success
5.993428306022466,5.584629257949586,1,False
4.72347139765763,6.579354677234641,1,False
6.295377076201385,6.65728548347323,0,False
8.046059712816051,6.197722730778381,0,False
4.531693250553328,6.838714288333991,0,False
4.531726086101639,7.404050856814538,2,False
8.158425631014783,8.88618590121053,4,True
6.534869458305818,7.174577812831839,1,True
4.061051228130096,7.2575503907227645,1,False
6.085120087171929,6.925554084233832,2,True
4.0731646143750755,5.081228784700959,1,False
4.068540492859486,6.973486124550783,0,False
5.483924543132068,7.060230209941026,4,True
1.1734395106844042,9.463242112485286,3,False
1.5501643349739345,6.807639035218878,1,False
3.8754249415180544,7.301547342333612,0,False
2.9743377593311524,6.965288230294757,3,False
5.628494665190548,5.831321962380468,4,False
3.1839518489575784,8.142822814515021,3,False
2.175392597329417,7.751933032686774,0,False
7.931297537843108,7.791031947043047,3,True
4.548447399026928,6.090612545205261,2,False
5.1350564093758475,8.402794310936098,3,True
2.1505036275730864,5.5981489372077196,1,False
3.9112345509496347,7.58685709380027,1,False
5.2218451794197325,9.190455625809978,2,True
2.6980128451553944,6.009463674869312,0,False
5.751396036691344,6.433702270397228,1,False
3.79872262016239,7.099651365087642,4,True
4.416612500413446,6.496524345883801,1,False
3.796586775541206,5.449336568933868,1,False
8.704556369017876,7.068562974806027,0,True
4.973005550524132,5.937696286273895,3,False
2.8845781420881993,7.473592430635182,1,False
6.645089824206378,6.080575765766197,2,False
2.5583127000579555,8.54993440501754,3,False
5.4177271900095105,6.216746707663763,4,True
1.0806597522404489,6.677938483794325,0,False
2.343627902203139,7.81351721736967,4,True
5.393722471738247,5.769135683566045,3,False
6.476933159990821,7.22745993460413,3,True
5.342736562379941,8.307142754282427,3,True
4.768703435223519,5.3925167654387725,4,True
4.3977926088214225,7.184633858532305,3,False
2.0429560192651453,7.259882794248424,4,False
3.5603115832105825,7.78182287177731,3,False
4.078722458080425,5.763049289121918,2,False
7.114244452437831,5.679543386915723,3,True
5.687236579136923,7.521941565616897,4,True
1.473919689274532,7.296984673233186,1,False
5.64816793878959,7.250492850345877,3,True
4.229835439167367,7.346448209496976,1,True
3.6461559993880828,6.319975278421509,2,False
6.2233525776817356,7.232253697161004,0,False
7.061999044991902,7.293072473298682,2,True
6.862560238232398,6.285648581973632,3,True
3.3215649535547227,8.865774511144757,1,False
4.381575248297571,7.4738329209117875,1,False
5.662526862807128,5.808696502797352,4,False
6.951090254244718,7.65655360863383,1,True
4.04165152430942,6.025318329772679,4,False
4.628682046672366,7.787084603742452,0,False
2.7873300519879436,8.158595579007404,3,False
2.6075867518386584,6.179317681648289,4,False
6.625051644788396,7.963376129244322,0,True
7.712480057141645,7.412780926936498,1,True
4.855979756839332,7.82206015999449,1,False
7.007065795784048,8.896792982653947,0,True
5.723272050095268,6.754611883997129,1,False
3.7097604907897512,6.246263835642511,0,False
5.722791211016828,6.110485570374477,4,True
8.076073132931938,6.184189715034561,4,True
4.928347921780097,6.922898290585896,0,False
8.129287311628012,7.341151974816644,4,True
-0.23949020817948874,7.276690799330019,4,False
6.643805008750448,7.827183249036024,4,True
5.174094136476342,7.013001891877907,2,False
4.401985299068265,8.453534077157316,3,True
5.183521553071005,6.735343166762044,1,False
1.0248621707982144,9.720169166589619,2,False
4.560656224324976,7.625667347765006,4,True
5.7142251430234925,6.142842443583717,0,False
7.955788089483033,5.929107501938888,4,True
3.9634595634527052,7.482472415243185,3,False
3.3830127942136246,6.776537214674149,4,False
3.996485912830927,7.714000494092092,0,False
6.830804235404148,7.473237624573545,3,True
5.657502219319369,6.927171087343127,4,False
3.9404795924659224,6.153206281931595,3,False
6.026534866226712,5.485152775314136,1,False
5.194155098696081,6.553485047932979,1,False
6.937289981065779,7.856398794323472,4,True
3.5958938122452953,7.214093744130204,3,False
4.3446757068044635,5.7542612212880115,0,False
4.215783693735685,7.173180925851182,4,True
2.072970103735763,7.3853173797288365,1,False
5.592240554129152,6.116142563798867,1,False
5.522110544359778,7.153725105945528,4,True
5.010226913284922,7.058208718446,3,False
4.530825733249706,5.857029702169377,1,False
